IPK,Kehadiran,Nilai_Rata,Semester,SKS_Lulus,Status
3.1,94,88,2,127,Tidak_Berisiko
2.58,64,62,5,106,Berisiko
1.87,81,93,6,139,Berisiko
3.66,88,75,2,76,Tidak_Berisiko
2.83,91,74,1,25,Berisiko
2.87,67,95,2,134,Berisiko
1.98,70,84,5,82,Berisiko
3.99,62,89,5,115,Berisiko
2.83,79,69,1,135,Berisiko
3.84,96,85,4,33,Tidak_Berisiko
3.42,82,71,6,120,Tidak_Berisiko
3.4,72,98,5,122,Berisiko
3.79,80,97,7,65,Tidak_Berisiko
3.88,93,75,4,60,Tidak_Berisiko
3.34,75,97,7,113,Tidak_Berisiko
3.26,58,64,8,67,Berisiko
3.09,87,58,5,106,Berisiko
3.55,79,61,5,30,Berisiko
3.92,100,69,4,54,Berisiko
2.43,100,87,4,104,Berisiko
3.5,58,88,2,67,Berisiko
3.4,53,87,5,62,Berisiko
3.77,67,95,5,127,Berisiko
3.59,65,60,6,92,Berisiko
3.53,89,83,8,36,Tidak_Berisiko
2.35,64,84,2,28,Berisiko
3.54,54,93,3,38,Berisiko
3.53,95,93,4,71,Tidak_Berisiko
3.61,79,98,7,129,Tidak_Berisiko
2.84,95,90,1,67,Berisiko
3.21,55,72,4,114,Berisiko
2.39,77,75,7,122,Berisiko
3.52,96,86,6,78,Tidak_Berisiko
1.93,58,88,6,82,Berisiko
3.32,98,100,2,113,Tidak_Berisiko
2.04,93,68,3,62,Berisiko
2.68,65,64,2,99,Berisiko
3.43,74,74,8,67,Berisiko
3.19,99,74,5,126,Tidak_Berisiko
2.49,68,83,6,110,Berisiko
3.58,78,89,5,139,Tidak_Berisiko
3.22,53,89,2,37,Berisiko
2.49,90,87,2,52,Berisiko
3.8,89,81,1,61,Tidak_Berisiko
1.98,87,73,2,48,Berisiko
3.61,59,61,2,108,Berisiko
2.04,79,81,2,22,Berisiko
3.29,52,63,7,76,Berisiko
3.56,94,75,8,99,Tidak_Berisiko
2.43,89,99,2,25,Berisiko
2.7,70,56,7,120,Berisiko
2.35,94,55,6,78,Berisiko
2.93,61,57,6,132,Berisiko
3.85,71,75,1,125,Berisiko
2.77,83,79,8,83,Berisiko
2.58,72,55,5,144,Berisiko
1.88,62,73,2,136,Berisiko
2.51,72,82,4,82,Berisiko
3.89,90,93,5,128,Tidak_Berisiko
2.95,89,99,8,56,Berisiko
2.54,58,85,1,74,Berisiko
2.16,86,53,5,36,Berisiko
3.99,73,72,3,131,Berisiko
2.41,74,100,7,31,Berisiko
1.95,93,57,4,33,Berisiko
2.04,75,92,5,88,Berisiko
3.44,68,51,1,39,Berisiko
2.44,60,95,8,21,Berisiko
3.6,70,85,7,27,Berisiko
3.43,89,61,6,132,Berisiko
2.98,71,87,4,121,Berisiko
3.37,85,65,2,60,Berisiko
2.29,61,90,2,86,Berisiko
3.18,96,83,2,111,Tidak_Berisiko
3.36,57,60,8,138,Berisiko
2.64,65,80,4,77,Berisiko
1.88,69,98,7,37,Berisiko
3.57,78,62,2,95,Berisiko
2.43,94,80,1,115,Berisiko
1.88,50,53,8,67,Berisiko
3.47,71,71,7,133,Berisiko
3.87,76,98,6,98,Tidak_Berisiko
3.47,83,88,4,31,Tidak_Berisiko
2.02,68,53,1,23,Berisiko
2.67,75,85,3,63,Berisiko
2.45,90,67,3,60,Berisiko
3.17,76,86,2,26,Tidak_Berisiko
3.04,89,54,7,67,Berisiko
2.38,77,54,6,50,Berisiko
3.89,64,68,2,33,Berisiko
1.99,72,91,1,132,Berisiko
2.59,81,85,5,88,Berisiko
3.84,54,74,4,82,Berisiko
1.86,97,64,6,114,Berisiko
2.52,87,58,5,82,Berisiko
3.53,94,55,8,87,Berisiko
3.55,74,84,4,25,Berisiko
2.0,73,90,8,117,Berisiko
3.74,75,83,4,104,Tidak_Berisiko
3.34,98,88,8,36,Tidak_Berisiko
3.29,52,58,6,87,Berisiko
3.11,93,89,8,65,Tidak_Berisiko
2.17,51,92,6,102,Berisiko
3.48,88,52,6,82,Berisiko
2.17,55,64,4,32,Berisiko
2.18,99,73,2,91,Berisiko
3.3,81,63,6,49,Berisiko
1.86,81,55,8,42,Berisiko
3.88,97,60,6,143,Berisiko
1.97,93,66,5,109,Berisiko
3.86,52,82,2,111,Berisiko
3.18,84,56,6,37,Berisiko
2.28,79,84,8,112,Berisiko
2.84,68,68,4,133,Berisiko
2.15,91,58,2,27,Berisiko
3.01,62,91,5,87,Berisiko
3.46,67,84,6,87,Berisiko
2.95,85,62,1,45,Berisiko
3.87,75,52,1,133,Berisiko
3.49,81,88,6,114,Tidak_Berisiko
2.42,78,90,6,119,Berisiko
2.19,89,55,2,113,Berisiko
3.96,72,80,2,67,Berisiko
2.18,59,78,6,103,Berisiko
1.86,80,60,3,103,Berisiko
2.55,94,65,4,99,Berisiko
2.19,50,67,5,116,Berisiko
2.93,95,71,4,109,Berisiko
3.76,59,52,6,80,Berisiko
2.42,75,66,1,107,Berisiko
2.82,90,63,5,95,Berisiko
2.02,57,100,1,92,Berisiko
1.93,77,83,7,122,Berisiko
3.79,63,86,6,37,Berisiko
3.73,77,77,7,23,Tidak_Berisiko
2.7,84,89,5,95,Berisiko
2.09,66,56,7,91,Berisiko
2.11,54,83,2,126,Berisiko
3.13,73,68,8,47,Berisiko
3.97,82,87,5,59,Tidak_Berisiko
3.5,61,59,5,97,Berisiko
3.74,99,60,3,113,Berisiko
2.27,89,51,8,46,Berisiko
3.66,59,84,1,111,Berisiko
3.96,64,61,1,93,Berisiko
2.01,58,51,2,57,Berisiko
2.87,92,75,6,55,Berisiko
3.1,77,56,6,93,Berisiko
3.67,79,55,2,114,Berisiko
3.27,87,54,2,120,Berisiko
3.22,61,61,6,118,Berisiko
2.88,74,50,4,128,Berisiko
3.08,100,68,8,67,Berisiko
2.46,58,79,1,93,Berisiko
3.18,91,51,5,33,Berisiko
2.48,50,56,4,78,Berisiko
2.07,84,91,8,99,Berisiko
2.4,93,95,8,132,Berisiko
2.93,63,51,3,82,Berisiko
3.48,54,54,7,90,Berisiko
3.0,58,78,1,78,Berisiko
2.51,74,89,4,62,Berisiko
3.74,98,58,6,35,Berisiko
2.93,60,95,2,128,Berisiko
3.31,59,79,7,129,Berisiko
3.33,79,69,2,62,Berisiko
3.36,70,50,5,80,Berisiko
1.82,76,97,3,23,Berisiko
3.76,83,77,4,63,Tidak_Berisiko
1.97,68,89,7,43,Berisiko
2.52,96,78,6,58,Berisiko
3.77,77,82,2,103,Tidak_Berisiko
2.37,88,53,8,127,Berisiko
3.96,60,82,4,27,Berisiko
2.92,52,53,2,126,Berisiko
3.1,63,63,7,62,Berisiko
2.11,90,56,6,79,Berisiko
3.81,55,91,1,84,Berisiko
3.21,60,99,1,109,Berisiko
3.42,90,63,5,134,Berisiko
3.03,51,57,8,130,Berisiko
3.3,77,78,6,52,Tidak_Berisiko
2.23,66,55,7,103,Berisiko
2.13,75,89,2,134,Berisiko
3.95,73,78,2,22,Berisiko
2.24,88,87,8,110,Berisiko
3.87,77,100,2,71,Tidak_Berisiko
3.4,87,98,4,106,Tidak_Berisiko
2.43,100,56,8,51,Berisiko
1.87,68,74,1,108,Berisiko
3.08,72,81,6,35,Berisiko
3.54,98,73,5,34,Tidak_Berisiko
3.21,96,72,4,52,Tidak_Berisiko
2.03,68,98,1,125,Berisiko
2.74,79,95,5,137,Berisiko
2.18,63,51,1,125,Berisiko
3.79,55,62,8,57,Berisiko
1.99,65,52,8,112,Berisiko
3.08,81,50,5,21,Berisiko
2.74,87,97,2,101,Berisiko
3.0,93,68,2,42,Berisiko
2.34,82,74,6,62,Berisiko
2.8,93,66,8,59,Berisiko
2.32,64,54,5,113,Berisiko
2.38,64,63,7,28,Berisiko
1.99,69,79,5,31,Berisiko
3.44,89,60,7,125,Berisiko
3.06,51,69,3,102,Berisiko
3.64,61,98,8,104,Berisiko
2.17,68,91,1,120,Berisiko
3.0,79,51,7,122,Berisiko
3.71,50,61,1,87,Berisiko
2.69,52,84,8,66,Berisiko
2.57,76,72,7,103,Berisiko
1.86,91,61,8,42,Berisiko
3.15,64,90,7,22,Berisiko
2.92,86,68,7,143,Berisiko
2.09,59,84,2,119,Berisiko
3.2,92,91,8,21,Tidak_Berisiko
3.49,59,84,6,87,Berisiko
2.26,87,58,2,82,Berisiko
3.46,64,67,5,83,Berisiko
3.48,56,64,7,122,Berisiko
3.31,82,50,5,70,Berisiko
2.24,95,94,4,25,Berisiko
2.02,56,91,8,70,Berisiko
2.19,50,87,3,131,Berisiko
2.27,70,53,1,116,Berisiko
2.48,67,72,3,59,Berisiko
3.19,62,73,5,46,Berisiko
2.71,67,71,3,93,Berisiko
3.33,74,94,3,57,Berisiko
2.38,63,54,8,43,Berisiko
2.17,76,53,4,126,Berisiko
3.36,66,90,6,50,Berisiko
3.33,81,55,1,42,Berisiko
1.88,80,82,1,133,Berisiko
2.87,83,52,3,24,Berisiko
2.87,59,89,6,44,Berisiko
3.14,52,78,7,87,Berisiko
3.18,79,63,4,75,Berisiko
2.2,53,99,8,106,Berisiko
2.31,81,66,7,32,Berisiko
2.45,54,61,1,118,Berisiko
3.03,55,92,2,100,Berisiko
3.29,88,92,8,56,Tidak_Berisiko
3.59,90,70,4,103,Tidak_Berisiko
2.72,66,98,8,127,Berisiko
1.96,70,63,1,135,Berisiko
3.74,58,63,5,126,Berisiko
2.92,54,66,3,52,Berisiko
2.07,100,94,1,122,Berisiko
3.44,57,68,4,50,Berisiko
3.73,83,55,4,111,Berisiko
3.63,67,98,6,29,Berisiko
1.84,61,94,3,25,Berisiko
1.88,86,73,7,26,Berisiko
3.78,63,91,4,79,Berisiko
3.99,59,54,3,58,Berisiko
3.7,73,100,3,40,Berisiko
3.56,57,55,8,124,Berisiko
3.66,76,72,8,26,Tidak_Berisiko
1.81,66,64,2,50,Berisiko
2.53,86,77,2,129,Berisiko
2.24,56,89,2,139,Berisiko
3.59,100,76,2,83,Tidak_Berisiko
2.12,57,76,3,66,Berisiko
2.34,68,74,6,109,Berisiko
3.96,90,88,4,39,Tidak_Berisiko
2.52,84,71,2,46,Berisiko
3.71,93,100,4,138,Tidak_Berisiko
1.94,80,63,1,25,Berisiko
3.42,85,59,8,121,Berisiko
3.63,90,69,2,49,Berisiko
1.95,83,58,6,59,Berisiko
3.24,81,75,1,111,Tidak_Berisiko
2.16,95,57,6,103,Berisiko
3.91,89,53,5,105,Berisiko
3.98,75,88,3,122,Tidak_Berisiko
2.01,96,76,3,91,Berisiko
3.58,98,65,5,21,Berisiko
3.27,55,89,8,24,Berisiko
2.61,80,97,2,82,Berisiko
3.47,56,89,4,91,Berisiko
2.01,62,85,4,139,Berisiko
3.15,86,80,4,55,Tidak_Berisiko
3.0,63,61,4,28,Berisiko
3.38,91,59,8,137,Berisiko
3.61,88,57,3,96,Berisiko
2.47,59,67,1,77,Berisiko
3.67,64,67,6,126,Berisiko
3.27,62,86,7,25,Berisiko
2.34,75,75,2,71,Berisiko
2.79,67,97,8,31,Berisiko
1.98,62,81,1,130,Berisiko
2.88,79,73,5,132,Berisiko
3.32,90,61,3,25,Berisiko
1.85,58,92,4,87,Berisiko
3.47,53,98,5,61,Berisiko
3.04,88,74,3,114,Tidak_Berisiko
2.87,78,65,5,32,Berisiko
3.86,93,60,4,109,Berisiko
2.01,79,56,5,130,Berisiko
2.66,92,64,8,89,Berisiko
3.06,98,90,1,79,Tidak_Berisiko
3.96,70,63,8,76,Berisiko
3.15,74,69,4,51,Berisiko
3.18,52,72,7,89,Berisiko
2.28,62,95,3,142,Berisiko
2.82,73,61,8,85,Berisiko
2.37,67,51,3,63,Berisiko
3.43,85,69,8,72,Berisiko
2.62,98,64,6,79,Berisiko
3.74,62,61,3,129,Berisiko
2.26,78,58,4,142,Berisiko
3.24,57,63,3,89,Berisiko
3.73,83,50,3,89,Berisiko
3.15,84,92,6,90,Tidak_Berisiko
3.81,54,69,1,144,Berisiko
1.85,73,79,3,38,Berisiko
2.5,68,66,6,136,Berisiko
3.42,51,74,7,62,Berisiko
3.05,62,63,1,83,Berisiko
2.73,86,69,4,114,Berisiko
3.85,93,79,3,29,Tidak_Berisiko
1.95,78,74,1,71,Berisiko
3.63,88,56,6,91,Berisiko
2.08,86,94,1,21,Berisiko
2.43,58,85,2,39,Berisiko
3.12,51,71,6,76,Berisiko
3.35,50,98,7,64,Berisiko
3.8,92,76,5,89,Tidak_Berisiko
2.06,75,62,2,98,Berisiko
2.14,69,68,4,46,Berisiko
3.63,97,74,1,49,Tidak_Berisiko
3.4,68,95,8,96,Berisiko
2.83,93,63,4,45,Berisiko
1.87,67,97,7,87,Berisiko
3.47,87,54,3,49,Berisiko
2.3,89,85,7,105,Berisiko
3.47,71,85,5,132,Berisiko
2.45,79,71,7,135,Berisiko
1.93,71,98,6,22,Berisiko
3.55,54,56,8,82,Berisiko
2.98,93,89,8,127,Berisiko
3.84,50,54,1,32,Berisiko
2.11,99,80,4,138,Berisiko
2.68,55,97,3,72,Berisiko
2.94,63,93,7,102,Berisiko
2.79,75,86,6,111,Berisiko
2.62,95,78,8,30,Berisiko
2.6,66,78,1,98,Berisiko
2.9,62,55,5,78,Berisiko
3.91,64,95,4,115,Berisiko
2.02,58,70,6,104,Berisiko
3.44,69,92,8,82,Berisiko
2.98,87,69,4,32,Berisiko
3.05,79,59,3,51,Berisiko
2.08,72,87,8,93,Berisiko
1.97,93,92,5,60,Berisiko
1.84,88,52,7,130,Berisiko
2.96,81,74,3,35,Berisiko
3.19,77,74,2,51,Tidak_Berisiko
3.3,60,86,8,65,Berisiko
3.27,60,64,8,71,Berisiko
2.39,56,57,4,40,Berisiko
3.36,57,95,6,109,Berisiko
3.3,96,89,6,51,Tidak_Berisiko
3.23,65,50,5,122,Berisiko
2.66,56,56,1,80,Berisiko
3.51,66,72,3,74,Berisiko
2.67,77,77,4,121,Berisiko
2.41,81,54,2,139,Berisiko
3.05,61,66,8,103,Berisiko
1.81,56,71,3,90,Berisiko
2.9,64,79,6,122,Berisiko
3.66,56,85,8,59,Berisiko
2.39,73,96,3,122,Berisiko
3.19,55,89,3,41,Berisiko
2.21,89,89,8,141,Berisiko
3.78,68,85,1,99,Berisiko
2.86,53,82,7,38,Berisiko
2.92,94,87,5,69,Berisiko
3.34,66,86,4,24,Berisiko
3.87,68,76,6,64,Berisiko
2.75,50,59,1,50,Berisiko
2.25,54,73,1,70,Berisiko
2.13,73,79,8,106,Berisiko
2.85,77,65,2,84,Berisiko
3.37,58,82,8,141,Berisiko
